cod_parlamentario,name,deputy_photo,hemiciclo_image,facebook,instagram,twitter,website,url
61,Pablo Sáez Alonso,True,True,,,https://twitter.com/PabloSaezAM,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=61&idLegislatura=XV&mostrarAgenda=false
62,Andreu Martín Martínez,True,True,https://www.facebook.com/andreu.martin,,https://twitter.com/andreu_martin,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=62&idLegislatura=XV&mostrarAgenda=false
63,María Luz Martínez Seijo,True,True,,https://www.instagram.com/martinezseijo,https://twitter.com/luzseijo,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=63&idLegislatura=XV&mostrarAgenda=false
64,José Luis Aceves Galindo,True,True,https://www.facebook.com/joseluisaceves,,https://twitter.com/JLAceves,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=64&idLegislatura=XV&mostrarAgenda=false
65,Carmen Fúnez de Gregorio,True,True,,,https://twitter.com/carmenfunezdg,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=65&idLegislatura=XV&mostrarAgenda=false
66,Esteban González Pons,True,False,,,,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=66&idLegislatura=XV&mostrarAgenda=false
67,Belén Hoyo Juliá,True,True,https://www.facebook.com/belen.hoyojulia,,https://twitter.com/BelenHoyo,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=67&idLegislatura=XV&mostrarAgenda=false
68,Juan Carlos Ruiz Boix,True,True,https://www.facebook.com/profile.php?id=100069073335094,https://www.instagram.com/juancarlosruizboix/,https://twitter.com/jcruizboix,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=68&idLegislatura=XV&mostrarAgenda=false
69,Sofía Acedo Reyes,True,True,https://www.facebook.com/sofia.acedoreyes,https://www.instagram.com/sofiaacedor/,https://twitter.com/SofiAcedo,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=69&idLegislatura=XV&mostrarAgenda=false
70,José Ramírez del Río,True,True,,,https://twitter.com/joseramirezdel2,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=70&idLegislatura=XV&mostrarAgenda=false
71,María Isabel Prieto Serrano,True,True,https://www.facebook.com/mariaisabel.prietoserrano/,https://www.instagram.com/iprietoserrano/,https://twitter.com/iprietoserrano,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=71&idLegislatura=XV&mostrarAgenda=false
72,María Carmen Sánchez Díaz,True,True,,,https://twitter.com/_mamensanchez,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=72&idLegislatura=XV&mostrarAgenda=false
73,Ángel López Maraver,True,True,,,https://twitter.com/A_LopezMaraver,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=73&idLegislatura=XV&mostrarAgenda=false
74,Pedro Ignacio Gallardo Barrena,True,True,https://www.facebook.com/gallardobarrena,https://www.instagram.com/pedrogallardobarrena/,https://twitter.com/pedrogallardo73,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=74&idLegislatura=XV&mostrarAgenda=false
75,Ana Cobo Carmona,True,True,,,https://twitter.com/anacobocar,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=75&idLegislatura=XV&mostrarAgenda=false
