metadata_deputy_id,personal_apellidos,personal_nombre,personal_circunscripcion,personal_fecha_eleccion,metadata_tipo_declaracion,seccion,item_index,actividad_periodo,actividad_empleador,actividad_sector,actividad_descripcion,donacion_benefactor,donacion_descripcion,fundacion_destinatario,fundacion_descripcion,otros_texto,firma_fecha,metadata_archivo_origen
000188,Marí Bosó,José Vicente,Balears (Illes),9 de agosto de 2023,,actividades,0.0,,Partido Popular,Político,"Presidente del Partido Popular en Ibiza, sin retribución. Fecha del acuerdo plenario definitivo: 19.12.2023",,,,,,,deputy_000188_interests_registro_intereses_diputado_188.pdf
000188,Marí Bosó,José Vicente,Balears (Illes),9 de agosto de 2023,,actividades,1.0,,Partido Popular,Político,"Secretario Nacional de Turismo, Industria y Comercio del Partido Popular, sin retribución. Fecha del acuerdo plenario definitivo: 19.12.2023",,,,,,,deputy_000188_interests_registro_intereses_diputado_188.pdf
000189,Sánchez Pérez-Castejón,Pedro,Madrid,9 de agosto de 2023,,actividades,0.0,,Gobierno,Cargos públicos,Presidente del Gobierno,,,,,,,deputy_000189_interests_registro_intereses_diputado_189.pdf
000189,Sánchez Pérez-Castejón,Pedro,Madrid,9 de agosto de 2023,,actividades,1.0,,Internacional Socialista,Cargos en partidos ó grupos parlamentarios,"Presidente de la Internacional Socialista, sin remuneración",,,,,,,deputy_000189_interests_registro_intereses_diputado_189.pdf
000189,Sánchez Pérez-Castejón,Pedro,Madrid,9 de agosto de 2023,,actividades,2.0,,PSOE,Cargos en partidos ó grupos parlamentarios,"Secretario General del PSOE, sin remuneración",,,,,,,deputy_000189_interests_registro_intereses_diputado_189.pdf
000189,Sánchez Pérez-Castejón,Pedro,Madrid,9 de agosto de 2023,,actividades,3.0,,Fundación Pablo Iglesias,Actividades privadas autorizadas,"Miembro del Patronato de la Fundación Pablo Iglesias, sin remuneración",,,,,,,deputy_000189_interests_registro_intereses_diputado_189.pdf
000189,Sánchez Pérez-Castejón,Pedro,Madrid,9 de agosto de 2023,,otros_intereses,0.0,,,,,,,,,"1. Declaración de Actividades, de 9 de agosto de 2023. 1 La autorización de esta actividad se realiza con la cautela de que no suponga el desempeño de otro puesto público o privado o incurra en algunas de las actividades prohibidas del artículo 159.2 LOREG. 2 Las actividades privadas se autorizan en la medida en que no incurran en los supuestos del artículo 159.2 de la LOREG, con las cautelas de no invocar la condición de parlamentario, no menoscabar la dedicación parlamentaria, y no incurrir en actividades prohibidas del artículo 159.2",,deputy_000189_interests_registro_intereses_diputado_189.pdf
000190,Mercadal Baquero,Pepe,Balears (Illes),9 de agosto de 2023,,actividades,0.0,,Ayuntamiento de Es Migjorn Gran (Islas Baleares),Cargos públicos,"Concejal en el Ayuntamiento de Es Migjorn Gran (Islas Baleares), Fecha del acuerdo plenario definitivo: 19.12.2023 sin dedicación exclusiva, sin percibir ningún tipo de remuneración, salvo indemnización por asistencia a órganos de la Corporación.",,,,,,,deputy_000190_interests_registro_intereses_diputado_190.pdf
000190,Mercadal Baquero,Pepe,Balears (Illes),9 de agosto de 2023,,actividades,1.0,,Ejecutiva Insular del PSOE de Menorca,Cargos en partidos ó grupos parlamentarios,"Secretario de Política Europea en la Ejecutiva Insular del PSOE de Menorca, sin retribución.",,,,,,,deputy_000190_interests_registro_intereses_diputado_190.pdf
000191,Leal Fernández,Isaura,Madrid,9 de agosto de 2023,,actividades,0.0,,Federación Española de Municipios y Provincias,,"Personal de la Federación Española de Municipios y Provincias, en situación de excedencia.",,,,,,,deputy_000191_interests_registro_intereses_diputado_191.pdf
000191,Leal Fernández,Isaura,Madrid,9 de agosto de 2023,,actividades,1.0,,Comisión Ejecutiva Regional del PSOE de Madrid,,"Miembro de la Comisión Ejecutiva Regional del PSOE de Madrid, sin recibir remuneración alguna.",,,,,,,deputy_000191_interests_registro_intereses_diputado_191.pdf
000191,Leal Fernández,Isaura,Madrid,9 de agosto de 2023,,actividades,2.0,,PSOE de Madrid,,"Presidenta del PSOE de Madrid, sin remuneración alguna.",,,,,,,deputy_000191_interests_registro_intereses_diputado_191.pdf
000192,Vidal Matas,Vicenç,Balears (Illes),9 de agosto de 2023,,actividades,0.0,,Esporles (Islas Baleares),Cargos públicos,"Concejal d'Esporles (Islas Baleares), sin dedicación exclusiva, sin percepción de ninguna retribución económica.",,,,,,,deputy_000192_interests_registro_intereses_diputado_192.pdf
000192,Vidal Matas,Vicenç,Balears (Illes),9 de agosto de 2023,,actividades,1.0,,Més per Mallorca,Cargos en partidos ó grupos parlamentarios,"Miembro de la Ejecutiva Més per Mallorca, sin retribución.",,,,,,,deputy_000192_interests_registro_intereses_diputado_192.pdf
000193,Figaredo Álvarez-Sala,José María,Asturias,9 de agosto de 2023,,actividades,0.0,,universidad pública,Docencia,"Docente en universidad pública, sin remuneración.",,,,,,,deputy_000193_interests_registro_intereses_diputado_193.pdf
000193,Figaredo Álvarez-Sala,José María,Asturias,9 de agosto de 2023,,actividades,1.0,,Grupo Parlamentario de VOX en el Congreso de los Diputados,Política,Secretario general del Grupo Parlamentario de VOX en el Congreso de los Diputados con remuneración.,,,,,,,deputy_000193_interests_registro_intereses_diputado_193.pdf
000193,Figaredo Álvarez-Sala,José María,Asturias,9 de agosto de 2023,,actividades,2.0,,universidad privada,Docencia,"Docente en universidad privada, con y sin remuneración.",,,,,,,deputy_000193_interests_registro_intereses_diputado_193.pdf
000194,Hoces Íñiguez,Ignacio,Badajoz,9 de agosto de 2023,,actividades,0.0,,VOX,Político,Vicesecretario Nacional de Institucional de VOX,,,,,,,deputy_000194_interests_registro_intereses_diputado_194.pdf
000194,Hoces Íñiguez,Ignacio,Badajoz,9 de agosto de 2023,,actividades,1.0,,Congreso de los Diputados,Asesoría,Asesor en el Congreso de los Diputados,,,,,,,deputy_000194_interests_registro_intereses_diputado_194.pdf
000195,García Morís,Roberto,Asturias,9 de agosto de 2023,,actividades,0.0,,Universidade da Coruña,Didáctica de las Ciencias Sociales,"Profesor contratado Doctor en la Universidade da Coruña en el Área de Didáctica de las Ciencias Sociales de la Facultad de Educación y, desde el 4 de diciembre de 2019, en situación de excedencia forzosa.",,,,,,,deputy_000195_interests_registro_intereses_diputado_195.pdf
000196,Vázquez Blanco,Ana Belén,Ourense,9 de agosto de 2023,,actividades,0.0,,Diputación de Ourense,Público,"Funcionaria Técnico Superior de la Diputación de Ourense, en situación de servicios especiales, percibiendo el correspondiente cumplimiento por antigüedad.",,,,,,,deputy_000196_interests_registro_intereses_diputado_196.pdf
000196,Vázquez Blanco,Ana Belén,Ourense,9 de agosto de 2023,,actividades,1.0,,Cuerpo Nacional de Policía,Público,"Inspectora alumna del Cuerpo Nacional de Policía, en situación de servicios especiales.",,,,,,,deputy_000196_interests_registro_intereses_diputado_196.pdf
000196,Vázquez Blanco,Ana Belén,Ourense,9 de agosto de 2023,,actividades,2.0,,Partido Popular,Político,Secretaria Nacional de Interior del Partido Popular.,,,,,,,deputy_000196_interests_registro_intereses_diputado_196.pdf
000196,Vázquez Blanco,Ana Belén,Ourense,9 de agosto de 2023,,otros_intereses,0.0,,,,,,,,,"1. Declaración de Actividades, de 9 de agosto de 2023
2. Declaración de Actividades, de 14 de septiembre de 2023",,deputy_000196_interests_registro_intereses_diputado_196.pdf
000197,Quintana Carballo,Rosa,Ourense,9 de agosto de 2023,,actividades,0.0,,Xunta de Galicia,Funcionaria,"Solicitado, en situación de servicios especiales, percibiendo el correspondiente complemento por antigüedad desde el 07.08.2023.",,,,,,,deputy_000197_interests_registro_intereses_diputado_197.pdf
000198,Moraleja Gómez,Tristana María,Coruña (A),9 de agosto de 2023,,actividades,0.0,,Xunta de Galicia,Cuerpo Superior de la Xunta de Galicia (Grupo A),"Funcionaria del Cuerpo Superior de la Xunta de Galicia (Grupo A), en situación de servicios especiales, percibiendo el correspondiente complemento por antigüedad.",,,,,,,deputy_000198_interests_registro_intereses_diputado_198.pdf
000199,Puy Fraga,Pedro,Pontevedra,9 de agosto de 2023,,actividades,0.0,,Universidad de Santiago de Compostela,Docencia,"Profesor Titular de la Universidad de Santiago de Compostela, en situación de servicios especiales, percibiendo el correspondiente complemento por antigüedad.",,,,,,,deputy_000199_interests_registro_intereses_diputado_199.pdf
000199,Puy Fraga,Pedro,Pontevedra,9 de agosto de 2023,,otros_intereses,0.0,,,,,,,,,"1. Declaración de Actividades, de 9 de agosto de 2023. 2. La autorización de esta actividad se realiza con la cautela de que no suponga el desempeño de otro puesto público o privado o incurra en algunas de las actividades prohibidas del artículo 159.2 LOREG. 3. Las actividades privadas se autorizan en la medida en que no incurran en los supuestos del artículo 159.2 de la LOREG, con las cautelas de no invocar la condición de parlamentario, no menoscabar la dedicación parlamentaria, y no incurrir en actividades prohibidas del artículo 159.2.",,deputy_000199_interests_registro_intereses_diputado_199.pdf
000200,González Vázquez,Marta,Coruña (A),9 de agosto de 2023,,otros_intereses,0.0,,,,,,,,,"Declaración de Actividades, de 9 de agosto de 2023. La autorización de esta actividad se realiza con la cautela de que no suponga el desempeño de otro puesto público o privado o incurra en algunas de las actividades prohibidas del artículo 159.2 LOREG. Las actividades privadas se autorizan en la medida en que no incurran en los supuestos del artículo 159.2 de la LOREG, con las cautelas de no invocar la condición de parlamentario, no menoscabar la dedicación parlamentaria, y no incurrir en actividades prohibidas del artículo 159.2.",,deputy_000200_interests_registro_intereses_diputado_200.pdf
